feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,"Ряды и подъемы гласных эксплицитно не описаны. Упоминается, что в К.я. Есть следующие гласные фонемы: а, э, о, ӧ, ы, и, у, ӱ. ",,310
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,"Ряды и подъемы гласных эксплицитно не описаны. Упоминается, что в К.я. Есть следующие гласные фонемы: а, э, о, ӧ, ы, и, у, ӱ. Упоминается, что гласный и -- переднего ряда, гласный ы -- заднего, гласный э -- произносится так же, как в русском.",,310
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,310
A-6,Фонологические ступени долготы,not_stated,,,,,310
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,"Наличие лабиализации не упоминаются, хотя представленные гласные а, э, о, ӧ, ы, и, у, ӱ позволяют считать, что она возможна. Также не упоминается сингармонизм по лабиализации, в отличие от большинства тюркских языков, где он ограниченно присутствует.",,310
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,310
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,310
A-10,Противопоставление гласных по назализации,not_applicable,,,,,310
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,310
A-14,Типы дифтонгов,not_applicable,,,,,310
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты","Полный список согласных К.я. В статье не представлен. Упоминается, что система консонантизма напоминает русскую. Разница в том, что в К.я. присутствуют гъ, къ, нъ, чъ, отсутствуют ц и ж (присутствуют в заимствованиях). ",,310
